ID,Station (ft),WSE 'Max' (feet)
944,650.083,364.506
945,651.381,364.502
946,652.438,364.5
947,653.363,364.5
948,654.246,364.5
949,654.358,364.5
950,655.113,364.499
951,655.963,364.497
952,656.818,364.494
953,657.705,364.491
954,658.599,364.487
955,658.631,364.487
956,659.219,364.485
957,659.376,364.484
958,659.567,364.484
959,660.487,364.48
960,661.371,364.476
961,661.605,364.475
962,662.207,364.475
963,662.996,364.474
964,663.749,364.473
965,664.486,364.47
966,665.23,364.467
967,665.991,364.464
968,666.171,364.463
969,666.763,364.46
970,667.533,364.457
971,668.295,364.454
972,669.052,364.45
973,669.81,364.447
974,670.579,364.443
975,671.368,364.44
976,672.18,364.436
977,673.01,364.432
978,673.85,364.428
979,674.688,364.424
980,674.923,364.423
981,675.514,364.415
982,676.319,364.404
983,677.109,364.395
984,677.898,364.386
985,678.692,364.385
986,679.486,364.385
987,679.918,364.385
988,680.282,364.385
989,681.082,364.384
990,681.878,364.383
991,682.665,364.38
992,683.444,364.376
993,684.209,364.372
994,684.955,364.368
995,685.634,364.365
996,685.685,364.365
997,686.422,364.36
998,687.198,364.355
999,688.033,364.35
1000,688.915,364.344
1001,689.818,364.339
1002,690.725,364.336
1003,691.627,364.332
1004,692.52,364.329
1005,693.405,364.326
1006,693.523,364.325
1007,694.285,364.319
1008,695.16,364.313
1009,696.021,364.307
1010,696.859,364.3
1011,697.67,364.294
1012,698.453,364.291
1013,699.205,364.288
1014,699.93,364.285
1015,700.643,364.283
1016,701.363,364.28
1017,702.101,364.278
1018,702.178,364.277
1019,702.859,364.271
1020,703.634,364.264
1021,704.424,364.257
1022,705.228,364.25
1023,705.418,364.249
1024,706.044,364.243
1025,706.867,364.236
1026,707.691,364.234
1027,708.513,364.232
1028,709.334,364.23
1029,710.156,364.228
1030,710.988,364.226
1031,711.48,364.225
1032,711.826,364.221
1033,712.654,364.213
1034,713.464,364.204
1035,713.865,364.2
1036,714.266,364.196
1037,714.672,364.193
1038,715.078,364.193
1039,715.911,364.192
1040,716.768,364.192
1041,717.576,364.192
1042,717.654,364.191
1043,718.567,364.189
1044,719.498,364.184
1045,720.435,364.177
1046,721.357,364.172
1047,722.232,364.166
1048,723.043,364.161
1049,723.798,364.156
1050,724.158,364.153
1051,724.521,364.152
1052,725.235,364.149
1053,725.957,364.145
1054,726.325,364.144
1055,726.694,364.142
1056,727.441,364.138
1057,728.192,364.133
1058,728.944,364.128
1059,729.4,364.125
1060,729.701,364.122
1061,730.088,364.116
1062,730.475,364.111
1063,731.266,364.1
1064,732.066,364.095
1065,732.869,364.095
1066,733.679,364.095
1067,734.26,364.095
1068,734.502,364.094
1069,735.343,364.093
1070,736.204,364.089
1071,737.076,364.085
1072,737.95,364.079
1073,738.821,364.074
1074,739.686,364.07
1075,740.544,364.065
1076,741.399,364.058
1077,741.898,364.052
1078,742.255,364.05
1079,743.117,364.046
1080,743.991,364.042
1081,744.885,364.037
1082,745.795,364.033
1083,746.714,364.028
1084,747.405,364.025
1085,747.427,364.025
1086,747.481,364.024
1087,747.635,364.023
1088,748.557,364.015
1089,749.479,364.007
1090,750.4,363.998
1091,751.322,363.99
1092,752.243,363.986
1093,753.162,363.984
1094,754.075,363.982
1095,754.978,363.979
1096,755.842,363.977
1097,755.873,363.977
1098,756.76,363.968
1099,757.64,363.96
1100,758.514,363.952
1101,759.388,363.949
1102,760.263,363.949
1103,761.14,363.949
1104,761.281,363.949
1105,762.017,363.948
1106,762.893,363.946
1107,763.769,363.942
1108,764.645,363.937
1109,765.52,363.933
1110,766.391,363.93
1111,767.259,363.927
1112,768.127,363.921
1113,768.203,363.92
1114,769,363.916
1115,769.436,363.914
1116,769.872,363.912
1117,770.732,363.908
1118,771.577,363.904
1119,771.954,363.902
1120,772.423,363.9
1121,773.298,363.897
1122,774.207,363.893
1123,774.369,363.892
1124,775.137,363.884
1125,776.07,363.874
1126,776.531,363.869
1127,776.991,363.866
1128,777.44,363.866
1129,777.889,363.866
1130,778.325,363.865
1131,778.761,363.865
1132,778.963,363.865
1133,779.615,363.864
1134,780.459,363.862
1135,781.295,363.859
1136,781.564,363.858
1137,781.816,363.857
1138,782.127,363.856
1139,782.963,363.852
1140,783.438,363.85
1141,783.584,363.85
1142,783.649,363.849
1143,783.806,363.849
1144,784.659,363.845
1145,785.51,363.84
1146,786.342,363.833
1147,786.377,363.833
1148,787.143,363.83
1149,787.915,363.827
1150,788.667,363.824
1151,789.414,363.82
1152,790.167,363.817
1153,790.937,363.813
1154,791.731,363.81
1155,792.353,363.807
1156,792.533,363.805
1157,793.321,363.795
1158,794.095,363.785
1159,794.878,363.784
1160,795.693,363.783
1161,796.062,363.783
1162,796.542,363.783
1163,797.424,363.781
1164,798.331,363.779
1165,799.236,363.775
1166,800.111,363.772
1167,800.953,363.769
1168,801.77,363.767
1169,802.578,363.764
1170,803.383,363.759
1171,804.188,363.752
1172,804.313,363.75
1173,804.994,363.744
1174,805.804,363.737
1175,806.621,363.735
1176,807.134,363.735
1177,807.444,363.734
1178,808.263,363.731
1179,809.073,363.727
1180,809.474,363.725
1181,809.874,363.722
1182,810.67,363.716
1183,811.46,363.711
1184,812.243,363.707
