ID,Station (ft),Velocity 'Max' (feet/sec)
954,658.599,10.377
955,658.631,10.377
956,659.219,10.355
957,659.376,10.352
958,659.567,10.35
959,660.487,10.356
960,661.371,10.362
961,661.605,10.362
962,662.207,10.361
963,662.996,10.363
964,663.749,10.37
965,664.486,10.22
966,665.23,10.223
967,665.991,10.272
968,666.171,10.292
969,666.763,10.171
970,667.533,10.042
971,668.295,9.934
972,669.052,9.832
973,669.81,9.712
974,670.579,9.591
975,671.368,9.469
976,672.18,9.352
977,673.01,9.244
978,673.85,9.146
979,674.688,9.062
980,674.923,9.04
981,675.514,9.132
982,676.319,9.266
983,677.109,9.422
984,677.898,9.635
985,678.692,9.845
986,679.486,10.1
987,679.918,10.249
988,680.282,10.304
989,681.082,10.39
990,681.878,10.415
991,682.665,10.328
992,683.444,10.21
993,684.209,10.345
994,684.955,10.337
995,685.634,10.303
996,685.685,10.305
997,686.422,10.354
998,687.198,10.434
999,688.033,10.551
1000,688.915,10.707
1001,689.818,10.797
1002,690.725,10.696
1003,691.627,10.603
1004,692.52,10.519
1005,693.405,10.444
1006,693.523,10.435
1007,694.285,10.412
1008,695.16,10.382
1009,696.021,10.36
1010,696.859,10.355
1011,697.67,10.368
1012,698.453,10.346
1013,699.205,10.314
1014,699.93,10.285
1015,700.643,10.256
1016,701.363,10.228
1017,702.101,10.201
1018,702.178,10.199
1019,702.859,10.21
1020,703.634,10.224
1021,704.424,10.242
1022,705.228,10.266
1023,705.418,10.272
1024,706.044,10.294
1025,706.867,10.324
1026,707.691,10.363
1027,708.513,10.404
1028,709.334,10.453
1029,710.156,10.515
1030,710.988,10.594
1031,711.48,10.651
1032,711.826,10.645
1033,712.654,10.647
1034,713.464,10.664
1035,713.865,10.675
1036,714.266,10.684
1037,714.672,10.713
1038,715.078,10.788
1039,715.911,10.96
1040,716.768,11.156
1041,717.576,11.357
1042,717.654,11.377
1043,718.567,11.439
1044,719.498,11.013
1045,720.435,10.568
1046,721.357,10.331
1047,722.232,10.172
1048,723.043,10.06
1049,723.798,9.967
1050,724.158,9.928
1051,724.521,9.881
1052,725.235,9.815
1053,725.957,9.795
1054,726.325,9.749
1055,726.694,9.731
1056,727.441,10.041
1057,728.192,10.398
1058,728.944,10.778
1059,729.4,11.021
1060,729.701,11.133
1061,730.088,11.153
1062,730.475,11.233
1063,731.266,11.401
1064,732.066,11.541
1065,732.869,11.649
1066,733.679,11.756
1067,734.26,11.831
1068,734.502,11.867
1069,735.343,11.939
1070,736.204,11.949
1071,737.076,11.923
1072,737.95,11.825
1073,738.821,11.845
1074,739.686,12.002
1075,740.544,12.224
1076,741.399,12.27
1077,741.898,12.087
1078,742.255,11.93
1079,743.117,11.564
1080,743.991,11.305
1081,744.885,11.181
1082,745.795,11.115
1083,746.714,11.054
1084,747.405,11.009
1085,747.427,11.007
1086,747.481,11.001
1087,747.635,10.984
1088,748.557,10.884
1089,749.479,10.786
1090,750.4,10.69
1091,751.322,10.595
1092,752.243,10.489
1093,753.162,10.38
1094,754.075,10.276
1095,754.978,10.183
1096,755.842,10.104
1097,755.873,10.101
1098,756.76,10.023
1099,757.64,9.962
1100,758.514,9.92
1101,759.388,9.951
1102,760.263,10.051
1103,761.14,10.18
1104,761.281,10.202
1105,762.017,10.342
1106,762.893,10.523
1107,763.769,10.731
