ID,Station (ft),WSE 'Max' (feet)
995,685.634,364.49
996,685.685,364.489
997,686.422,364.485
998,687.198,364.48
999,688.033,364.475
1000,688.915,364.47
1001,689.818,364.465
1002,690.725,364.462
1003,691.627,364.459
1004,692.52,364.456
1005,693.405,364.452
1006,693.523,364.452
1007,694.285,364.447
1008,695.16,364.441
1009,696.021,364.435
1010,696.859,364.429
1011,697.67,364.423
1012,698.453,364.42
1013,699.205,364.417
1014,699.93,364.415
1015,700.643,364.412
1016,701.363,364.41
1017,702.101,364.407
1018,702.178,364.407
1019,702.859,364.401
1020,703.634,364.395
1021,704.424,364.388
1022,705.228,364.382
1023,705.418,364.38
1024,706.044,364.375
1025,706.867,364.368
1026,707.691,364.366
1027,708.513,364.364
1028,709.334,364.363
1029,710.156,364.361
1030,710.988,364.359
1031,711.48,364.357
1032,711.826,364.354
1033,712.654,364.346
1034,713.464,364.338
1035,713.865,364.334
1036,714.266,364.331
1037,714.672,364.328
1038,715.078,364.328
1039,715.911,364.327
1040,716.768,364.327
1041,717.576,364.327
1042,717.654,364.326
1043,718.567,364.324
1044,719.498,364.319
1045,720.435,364.313
1046,721.357,364.308
1047,722.232,364.303
1048,723.043,364.298
1049,723.798,364.293
1050,724.158,364.291
1051,724.521,364.289
1052,725.235,364.286
1053,725.957,364.283
1054,726.325,364.282
1055,726.694,364.28
1056,727.441,364.276
1057,728.192,364.272
1058,728.944,364.267
1059,729.4,364.265
1060,729.701,364.261
1061,730.088,364.256
1062,730.475,364.251
1063,731.266,364.241
1064,732.066,364.236
1065,732.869,364.236
1066,733.679,364.236
1067,734.26,364.236
1068,734.502,364.236
1069,735.343,364.234
1070,736.204,364.231
1071,737.076,364.227
1072,737.95,364.222
1073,738.821,364.217
1074,739.686,364.213
1075,740.544,364.208
1076,741.399,364.202
1077,741.898,364.196
1078,742.255,364.195
1079,743.117,364.191
1080,743.991,364.187
1081,744.885,364.182
1082,745.795,364.178
1083,746.714,364.174
1084,747.405,364.171
1085,747.427,364.171
1086,747.481,364.17
1087,747.635,364.169
1088,748.557,364.161
1089,749.479,364.154
1090,750.4,364.146
1091,751.322,364.139
1092,752.243,364.135
1093,753.162,364.133
1094,754.075,364.131
1095,754.978,364.129
1096,755.842,364.127
1097,755.873,364.126
1098,756.76,364.118
1099,757.64,364.11
1100,758.514,364.103
1101,759.388,364.1
1102,760.263,364.1
1103,761.14,364.1
1104,761.281,364.1
1105,762.017,364.099
1106,762.893,364.097
1107,763.769,364.093
1108,764.645,364.089
1109,765.52,364.086
1110,766.391,364.083
1111,767.259,364.08
1112,768.127,364.074
1113,768.203,364.073
1114,769,364.07
1115,769.436,364.068
1116,769.872,364.066
1117,770.732,364.062
1118,771.577,364.058
